Timestep;NBPresence;NBPresencePercentage
219;4;0,076923077
220;3;0,057692308
221;4;0,076923077
222;5;0,096153846
223;5;0,096153846
224;5;0,096153846
225;5;0,096153846
226;4;0,076923077
227;3;0,057692308
228;2;0,038461538
229;1;0,019230769
230;2;0,038461538
231;2;0,038461538
232;3;0,057692308
233;2;0,038461538
234;1;0,019230769
235;1;0,019230769
236;2;0,038461538
237;1;0,019230769
238;1;0,019230769
239;1;0,019230769
240;2;0,038461538
241;2;0,038461538
242;0;0
243;1;0,019230769
244;1;0,019230769
245;1;0,019230769
246;2;0,038461538
247;4;0,076923077
248;1;0,019230769
249;0;0
250;1;0,019230769
251;1;0,019230769
252;2;0,038461538
253;1;0,019230769
254;1;0,019230769
255;1;0,019230769
256;2;0,038461538
257;3;0,057692308
258;4;0,076923077
259;4;0,076923077
260;4;0,076923077
261;2;0,038461538
262;1;0,019230769
263;3;0,057692308
264;3;0,057692308
265;2;0,038461538
266;2;0,038461538
267;2;0,038461538
268;2;0,038461538
269;1;0,019230769
270;2;0,038461538
271;2;0,038461538
272;2;0,038461538
273;1;0,019230769
274;0;0
275;0;0
276;2;0,038461538
277;2;0,038461538
278;1;0,019230769
279;0;0
280;0;0
281;0;0
282;1;0,019230769
283;3;0,057692308
284;2;0,038461538
285;3;0,057692308
286;2;0,038461538
287;1;0,019230769
288;1;0,019230769
289;3;0,057692308
290;3;0,057692308
291;4;0,076923077
292;4;0,076923077
293;3;0,057692308
294;2;0,038461538
295;3;0,057692308
296;4;0,076923077
297;3;0,057692308
298;4;0,076923077
299;4;0,076923077
300;4;0,076923077
301;4;0,076923077
302;2;0,038461538
303;2;0,038461538
304;3;0,057692308
305;3;0,057692308
306;3;0,057692308
307;2;0,038461538
308;2;0,038461538
309;2;0,038461538
310;1;0,019230769
311;1;0,019230769
312;1;0,019230769
313;2;0,038461538
314;2;0,038461538
315;1;0,019230769
316;3;0,057692308
317;4;0,076923077
318;4;0,076923077
319;3;0,057692308
320;3;0,057692308
321;2;0,038461538
322;2;0,038461538
323;2;0,038461538
324;2;0,038461538
325;2;0,038461538
326;4;0,076923077
327;4;0,076923077
328;3;0,057692308
329;3;0,057692308
330;3;0,057692308
331;2;0,038461538
332;1;0,019230769
333;1;0,019230769
334;0;0
335;0;0
336;0;0
337;0;0
338;0;0
339;2;0,038461538
340;3;0,057692308
341;3;0,057692308
342;3;0,057692308
343;4;0,076923077
344;4;0,076923077
345;5;0,096153846
346;4;0,076923077
347;4;0,076923077
348;4;0,076923077
349;2;0,038461538
350;3;0,057692308
351;4;0,076923077
352;4;0,076923077
353;4;0,076923077
354;4;0,076923077
355;3;0,057692308
356;3;0,057692308
357;3;0,057692308
358;2;0,038461538
359;1;0,019230769
360;1;0,019230769
361;0;0
362;0;0
363;0;0
364;1;0,019230769
365;4;0,076923077
366;1;0,019230769
367;2;0,038461538
368;0;0
369;0;0
370;1;0,019230769
371;1;0,019230769
372;3;0,057692308
373;4;0,076923077
374;5;0,096153846
375;7;0,134615385
376;5;0,096153846
377;9;0,173076923
378;7;0,134615385
379;8;0,153846154
380;9;0,173076923
381;9;0,173076923
382;11;0,211538462
383;15;0,288461538
384;21;0,403846154
385;19;0,365384615
386;22;0,423076923
387;21;0,403846154
388;20;0,384615385
389;21;0,403846154
390;20;0,384615385
391;24;0,461538462
392;24;0,461538462
393;26;0,5
394;29;0,557692308
395;28;0,538461538
396;25;0,480769231
397;27;0,519230769
398;26;0,5
399;27;0,519230769
400;23;0,442307692
401;22;0,423076923
402;20;0,384615385
403;19;0,365384615
404;19;0,365384615
405;19;0,365384615
406;21;0,403846154
407;22;0,423076923
408;23;0,442307692
409;17;0,326923077
410;18;0,346153846
411;18;0,346153846
412;19;0,365384615
413;15;0,288461538
414;12;0,230769231
415;12;0,230769231
416;12;0,230769231
417;14;0,269230769
418;12;0,230769231
419;17;0,326923077
420;16;0,307692308
421;19;0,365384615
422;18;0,346153846
423;19;0,365384615
424;19;0,365384615
425;20;0,384615385
426;17;0,326923077
427;14;0,269230769
428;12;0,230769231
429;11;0,211538462
430;7;0,134615385
431;7;0,134615385
432;7;0,134615385
433;5;0,096153846
434;7;0,134615385
435;10;0,192307692
436;14;0,269230769
437;15;0,288461538
438;16;0,307692308
439;15;0,288461538
440;18;0,346153846
441;20;0,384615385
442;22;0,423076923
443;21;0,403846154
444;22;0,423076923
445;20;0,384615385
446;21;0,403846154
447;21;0,403846154
448;19;0,365384615
449;19;0,365384615
450;17;0,326923077
451;15;0,288461538
452;19;0,365384615
453;24;0,461538462
454;23;0,442307692
455;26;0,5
456;25;0,480769231
457;27;0,519230769
458;25;0,480769231
459;32;0,615384615
460;28;0,538461538
461;22;0,423076923
462;26;0,5
463;27;0,519230769
464;27;0,519230769
465;26;0,5
466;27;0,519230769
467;20;0,384615385
468;23;0,442307692
469;19;0,365384615
470;21;0,403846154
471;22;0,423076923
472;20;0,384615385
473;21;0,403846154
474;18;0,346153846
475;14;0,269230769
476;14;0,269230769
477;16;0,307692308
478;21;0,403846154
479;20;0,384615385
480;20;0,384615385
481;22;0,423076923
482;20;0,384615385
483;20;0,384615385
484;20;0,384615385
485;21;0,403846154
486;21;0,403846154
487;21;0,403846154
488;22;0,423076923
489;23;0,442307692
490;23;0,442307692
491;22;0,423076923
492;22;0,423076923
493;18;0,346153846
494;16;0,307692308
495;12;0,230769231
496;10;0,192307692
497;10;0,192307692
498;9;0,173076923
499;10;0,192307692
500;9;0,173076923
501;6;0,115384615
502;4;0,076923077
503;3;0,057692308
504;3;0,057692308
505;5;0,096153846
506;5;0,096153846
507;7;0,134615385
508;8;0,153846154
509;8;0,153846154
510;7;0,134615385
511;6;0,115384615
512;5;0,096153846
513;7;0,134615385
514;6;0,115384615
515;2;0,038461538
516;1;0,019230769
517;0;0
518;0;0
519;0;0
520;0;0
521;1;0,019230769
522;1;0,019230769
523;1;0,019230769
524;1;0,019230769
525;2;0,038461538
526;2;0,038461538
527;1;0,019230769
528;3;0,057692308
529;3;0,057692308
530;4;0,076923077
531;3;0,057692308
532;2;0,038461538
533;2;0,038461538
534;1;0,019230769
535;1;0,019230769
536;2;0,038461538
537;1;0,019230769
538;1;0,019230769
539;1;0,019230769
540;1;0,019230769
541;2;0,038461538
542;2;0,038461538
543;3;0,057692308
544;4;0,076923077
545;3;0,057692308
546;5;0,096153846
547;3;0,057692308
548;2;0,038461538
549;2;0,038461538
550;3;0,057692308
551;3;0,057692308
552;3;0,057692308
553;2;0,038461538
554;2;0,038461538
555;2;0,038461538
556;2;0,038461538
557;2;0,038461538
558;2;0,038461538
559;2;0,038461538
560;2;0,038461538
561;4;0,076923077
562;3;0,057692308
563;4;0,076923077
564;3;0,057692308
565;2;0,038461538
566;1;0,019230769
567;1;0,019230769
568;3;0,057692308
569;2;0,038461538
570;2;0,038461538
571;3;0,057692308
572;3;0,057692308
573;2;0,038461538
574;3;0,057692308
575;1;0,019230769
576;1;0,019230769
577;1;0,019230769
578;1;0,019230769
579;1;0,019230769
580;0;0
581;0;0
582;0;0
583;1;0,019230769
584;2;0,038461538
585;2;0,038461538
586;2;0,038461538
587;2;0,038461538
588;2;0,038461538
589;2;0,038461538
590;0;0
591;1;0,019230769
592;1;0,019230769
593;3;0,057692308
594;2;0,038461538
595;1;0,019230769
596;1;0,019230769
597;2;0,038461538
598;2;0,038461538
599;2;0,038461538
600;1;0,019230769
601;0;0
602;0;0
603;1;0,019230769
604;1;0,019230769
605;2;0,038461538
606;2;0,038461538
607;3;0,057692308
608;2;0,038461538
609;1;0,019230769
610;1;0,019230769
611;2;0,038461538
612;4;0,076923077
613;6;0,115384615
614;7;0,134615385
615;7;0,134615385
616;6;0,115384615
617;6;0,115384615
618;5;0,096153846
619;4;0,076923077
620;3;0,057692308
621;3;0,057692308
622;3;0,057692308
623;2;0,038461538
624;2;0,038461538
625;2;0,038461538
626;1;0,019230769
627;1;0,019230769
628;1;0,019230769
629;1;0,019230769
630;1;0,019230769
631;1;0,019230769
632;2;0,038461538
633;2;0,038461538
634;2;0,038461538
635;2;0,038461538
636;0;0
637;0;0
638;0;0
639;0;0
640;0;0
641;0;0
642;0;0
643;0;0
644;1;0,019230769
645;2;0,038461538
646;1;0,019230769
647;3;0,057692308
648;4;0,076923077
649;3;0,057692308
650;2;0,038461538
651;1;0,019230769
652;1;0,019230769
653;1;0,019230769
654;3;0,057692308
655;5;0,096153846
656;6;0,115384615
657;6;0,115384615
658;5;0,096153846
659;4;0,076923077
660;5;0,096153846
661;9;0,173076923
662;10;0,192307692
663;11;0,211538462
664;10;0,192307692
665;12;0,230769231
666;12;0,230769231
667;15;0,288461538
668;15;0,288461538
669;14;0,269230769
670;15;0,288461538
671;14;0,269230769
672;17;0,326923077
673;19;0,365384615
674;15;0,288461538
675;13;0,25
676;14;0,269230769
677;14;0,269230769
678;16;0,307692308
679;18;0,346153846
680;19;0,365384615
681;22;0,423076923
682;22;0,423076923
683;20;0,384615385
684;16;0,307692308
